box,harness,model,seed,holdout_auc,best_eval_auc,frame_stats,n_hits,note,kinds,where,lines
runs,opencode,deepseek-4.1-flash,45,0.74582388663,0.7457,False,0,,,,
runs,opencode,deepseek-4.1-flash,46,0.7283398095340001,0.7291,False,0,,,,
runs,opencode,deepseek-4.1-flash,47,0.727182010372,0.7262,False,0,,,,
runs,opencode,deepseek-4.1-flash,48,0.7347855706140001,0.7352,False,0,,,,
runs,opencode,deepseek-4.1-flash,49,0.73762425824,0.7378,False,0,,,,
runs,opencode,deepseek-4.1-flash,50,0.74971406797,0.7438,False,0,,,,
runs,opencode,deepseek-4.1-flash,51,0.7424048805900001,0.7417,False,0,,,,
runs,opencode,deepseek-4.1-flash,52,0.7232484732840001,0.7232,False,0,,,,
runs,opencode,glm-5.3-flash,40,0.7382091522040001,0.7374,False,0,,,,
runs,opencode,glm-5.3-flash,41,0.7297915366000001,0.729,False,0,,,,
runs,opencode,glm-5.3-flash,42,0.7565166228219999,0.7558,False,0,,,,
runs,opencode,glm-5.3-flash,43,0.7283249863460001,0.7271,False,0,,,,
runs,opencode,glm-5.3-flash,44,0.739848640448,0.7398,False,0,,,,
runs,opencode,glm-5.3-flash,45,0.7252400575760001,0.7244,False,0,,,,
runs,opencode,glm-5.3-flash,46,0.741091684316,0.7403,False,0,,,,
runs,opencode,glm-5.3-flash,47,0.747494669578,0.7462,False,0,,,,
runs,opencode,glm-5.3-flash,48,0.729295309012,0.7294,False,0,,,,
runs,opencode,glm-5.3-flash,49,0.732069193904,0.7314,False,0,,,,
runs,opencode,glm-5.3-flash,50,0.7444913629079999,0.7443,False,0,,,,
runs,opencode,glm-5.3-flash,51,0.74017668181,0.7392,False,0,,,,
runs,opencode,glm-5.3-flash,52,0.7488187489860001,0.7479,False,0,,,,
runs,pi,deepseek-4.1-flash,40,0.7566142940359999,0.7563,False,0,,,,
runs,pi,deepseek-4.1-flash,41,0.7694962489799999,0.7702,False,0,,,,
runs,pi,deepseek-4.1-flash,42,0.7423935184560001,0.7425,False,0,,,,
runs,pi,deepseek-4.1-flash,43,0.7235173323440001,0.7222,False,0,,,,
runs,pi,deepseek-4.1-flash,44,0.749756000106,0.75,False,0,,,,
runs,pi,deepseek-4.1-flash,45,0.7461324508720001,0.7457,False,0,,,,
runs,pi,deepseek-4.1-flash,46,0.7398105754819999,0.7393,False,0,,,,
runs,pi,deepseek-4.1-flash,47,0.747008496278,0.7466,False,0,,,,
runs,pi,deepseek-4.1-flash,48,0.731757790878,0.7307,False,0,,,,
runs,pi,deepseek-4.1-flash,49,0.752838159908,0.7518,False,0,,,,
runs,pi,deepseek-4.1-flash,50,0.76451057846,0.7664,False,0,,,,
runs,pi,deepseek-4.1-flash,51,0.744117653648,0.7436,False,0,,,,
